Product_Name,Product_ASIN,Brand,Price,MRP,Discount,Stock_Status,Rating,Reviews,Seller,Product_Link,Reviews_Link,Scraped_At
"boAt New Launch Rockerz 650 Pro, Touch/Swipe Controls, Dolby Audio, 80Hrs Battery, 2Mics ENx, Fast Charge, App Support, Dual Pair, Bluetooth Over Ear Headphones with Mic (Iris Black)",B0DV5J28LW,boAt,"₹2,299","₹8,990",74% off,In Stock,4.2 out of 5 stars,"1,533","Amazon.com, Inc",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2Nzc5OTE1NTM1NTk0Njk1OjE3NTg1NTM3MjU6c3BfYXRmOjMwMDQ4OTk4OTk4MjUzMjo6MDo6&url=%2FboAt-Rockerz-650-Pro-Headphones%2Fdp%2FB0DV5J28LW%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.mAOnHCmz5d4_zOKs1z0RbD_NGNTcXKC2N_1_W2afBmCuaeD1_ya9RfKH2DdfAmcn4Dz5cSb71tfyPWzbCeZIsfWSWP2M0rmeWr-skayKZw3ujQ34M0qcRaAmBDhKlvXZ3ohLldVlHMFCyL-DHgaixIy1aJ2AVL2wKoQv9fBtA0fzv8Th8QO8B0FhLedUG9gpegDRI0A5D9KOe4EOt-B_QMpXm0D3uRYYwb5YLvGFizY.rZ0ErfuegNP8jtqbyvhmyOWyofCyDD461PbFA3WXeMg%26dib_tag%3Dse%26keywords%3Dheadphones%26qid%3D1758553725%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=lwDg3zjXJT&sp_cr=ZAZ,https://amazon.in/product-reviews/B0DV5J28LW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2025-09-22 20:38:49
"soundcore by Anker Q20i Wireless Bluetooth Over-Ear Headphones with Hybrid Active Noise Cancelling, 40h Playtime in ANC Mode, Hi-Res Audio, Deep Bass, Personalization via App (Black)",B0C3HCD34R,Anker,"₹3,659","₹5,999",39% off,In Stock,4.3 out of 5 stars,"37,427","Amazon.com, Inc",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2Nzc5OTE1NTM1NTk0Njk1OjE3NTg1NTM3MjU6c3BfYXRmOjMwMDY4OTQ2MDczMzEzMjo6MDo6&url=%2Fsoundcore-Bluetooth-Headphones-Cancelling-Personalization%2Fdp%2FB0C3HCD34R%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.mAOnHCmz5d4_zOKs1z0RbD_NGNTcXKC2N_1_W2afBmCuaeD1_ya9RfKH2DdfAmcn4Dz5cSb71tfyPWzbCeZIsfWSWP2M0rmeWr-skayKZw3ujQ34M0qcRaAmBDhKlvXZ3ohLldVlHMFCyL-DHgaixIy1aJ2AVL2wKoQv9fBtA0fzv8Th8QO8B0FhLedUG9gpegDRI0A5D9KOe4EOt-B_QMpXm0D3uRYYwb5YLvGFizY.rZ0ErfuegNP8jtqbyvhmyOWyofCyDD461PbFA3WXeMg%26dib_tag%3Dse%26keywords%3Dheadphones%26qid%3D1758553725%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=srWVtedvxq&sp_cr=ZAZ,https://amazon.in/product-reviews/B0C3HCD34R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2025-09-22 20:38:54
Boat BassHeads 100 in-Ear Headphones with Mic (Black),B071Z8M4KX,Boat,₹349,₹999,65% off,In Stock,4.1 out of 5 stars,"426,409","Amazon.com, Inc",https://www.amazon.in/boAt-BassHeads-100-Headphones-Black/dp/B071Z8M4KX/ref=sr_1_3?dib=eyJ2IjoiMSJ9.mAOnHCmz5d4_zOKs1z0RbD_NGNTcXKC2N_1_W2afBmCuaeD1_ya9RfKH2DdfAmcn4Dz5cSb71tfyPWzbCeZIsfWSWP2M0rmeWr-skayKZw3ujQ34M0qcRaAmBDhKlvXZ3ohLldVlHMFCyL-DHgaixIy1aJ2AVL2wKoQv9fBtA0fzv8Th8QO8B0FhLedUG9gpegDRI0A5D9KOe4EOt-B_QMpXm0D3uRYYwb5YLvGFizY.rZ0ErfuegNP8jtqbyvhmyOWyofCyDD461PbFA3WXeMg&dib_tag=se&keywords=headphones&qid=1758553725&sr=8-3,https://amazon.in/product-reviews/B071Z8M4KX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2025-09-22 20:38:58
"boAt Rockerz 411 (2025 Launch), 40Ms Low Latency, 40Hrs Battery, 40Mm Drivers, Enx Tech, Integrated Controls, V5.4 Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Active Black)",B0FC2Y8XYF,boAt,"₹1,099","₹2,999",63% off,In Stock,4.2 out of 5 stars,"27,040","Amazon.com, Inc",https://www.amazon.in/boAt-Integrated-Bluetooth-Headphones-Headphone/dp/B0FC2Y8XYF/ref=sr_1_4?dib=eyJ2IjoiMSJ9.mAOnHCmz5d4_zOKs1z0RbD_NGNTcXKC2N_1_W2afBmCuaeD1_ya9RfKH2DdfAmcn4Dz5cSb71tfyPWzbCeZIsfWSWP2M0rmeWr-skayKZw3ujQ34M0qcRaAmBDhKlvXZ3ohLldVlHMFCyL-DHgaixIy1aJ2AVL2wKoQv9fBtA0fzv8Th8QO8B0FhLedUG9gpegDRI0A5D9KOe4EOt-B_QMpXm0D3uRYYwb5YLvGFizY.rZ0ErfuegNP8jtqbyvhmyOWyofCyDD461PbFA3WXeMg&dib_tag=se&keywords=headphones&qid=1758553725&sr=8-4,https://amazon.in/product-reviews/B0FC2Y8XYF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2025-09-22 20:39:01
"boAt Rockerz 421 (2025 Launch), 40Hrs Battery, Low Latency(40Ms), 40Mm Drivers, Enx Technology, Integrated Controls, V5.4 Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Bold Blue)",B0F7LY85KB,boAt,"₹1,199","₹2,490",52% off,In Stock,4.3 out of 5 stars,616,"Amazon.com, Inc",https://www.amazon.in/boAt-Rockerz-Technology-Integrated-Headphones/dp/B0F7LY85KB/ref=sr_1_5?dib=eyJ2IjoiMSJ9.mAOnHCmz5d4_zOKs1z0RbD_NGNTcXKC2N_1_W2afBmCuaeD1_ya9RfKH2DdfAmcn4Dz5cSb71tfyPWzbCeZIsfWSWP2M0rmeWr-skayKZw3ujQ34M0qcRaAmBDhKlvXZ3ohLldVlHMFCyL-DHgaixIy1aJ2AVL2wKoQv9fBtA0fzv8Th8QO8B0FhLedUG9gpegDRI0A5D9KOe4EOt-B_QMpXm0D3uRYYwb5YLvGFizY.rZ0ErfuegNP8jtqbyvhmyOWyofCyDD461PbFA3WXeMg&dib_tag=se&keywords=headphones&qid=1758553725&sr=8-5,https://amazon.in/product-reviews/B0F7LY85KB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2025-09-22 20:39:05
"JBL Tune 510BT, On Ear Wireless Headphones with Mic, up to 40 Hours Playtime, Pure Bass, Quick Charging, Dual Pairing, Bluetooth 5.0 & Voice Assistant Support for Mobile Phones (Black)",B08QTYYNDN,JBL,"₹1,999","₹4,449",55% off,In Stock,4.0 out of 5 stars,"26,274","Amazon.com, Inc",https://www.amazon.in/JBL-Wireless-Headphones-Bluetooth-Assistant/dp/B08QTYYNDN/ref=sr_1_6?dib=eyJ2IjoiMSJ9.mAOnHCmz5d4_zOKs1z0RbD_NGNTcXKC2N_1_W2afBmCuaeD1_ya9RfKH2DdfAmcn4Dz5cSb71tfyPWzbCeZIsfWSWP2M0rmeWr-skayKZw3ujQ34M0qcRaAmBDhKlvXZ3ohLldVlHMFCyL-DHgaixIy1aJ2AVL2wKoQv9fBtA0fzv8Th8QO8B0FhLedUG9gpegDRI0A5D9KOe4EOt-B_QMpXm0D3uRYYwb5YLvGFizY.rZ0ErfuegNP8jtqbyvhmyOWyofCyDD461PbFA3WXeMg&dib_tag=se&keywords=headphones&qid=1758553725&sr=8-6,https://amazon.in/product-reviews/B08QTYYNDN/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2025-09-22 20:39:09
"boAt Rockerz 113 (2025 Launch), 40 Hrs Playback, Dual Pair, Fast Charge, Enx Tech, Low Latency, Magnetic Buds, Bluetooth Neckband, Wireless with Mic in Ear Earphones(Active Black)",B0F7Y54PJX,boAt,₹699,"₹2,490",72% off,In Stock,4.0 out of 5 stars,"1,914","Amazon.com, Inc",https://www.amazon.in/boAt-Rockerz-Playback-Bluetooth-Earphones/dp/B0F7Y54PJX/ref=sr_1_7?dib=eyJ2IjoiMSJ9.mAOnHCmz5d4_zOKs1z0RbD_NGNTcXKC2N_1_W2afBmCuaeD1_ya9RfKH2DdfAmcn4Dz5cSb71tfyPWzbCeZIsfWSWP2M0rmeWr-skayKZw3ujQ34M0qcRaAmBDhKlvXZ3ohLldVlHMFCyL-DHgaixIy1aJ2AVL2wKoQv9fBtA0fzv8Th8QO8B0FhLedUG9gpegDRI0A5D9KOe4EOt-B_QMpXm0D3uRYYwb5YLvGFizY.rZ0ErfuegNP8jtqbyvhmyOWyofCyDD461PbFA3WXeMg&dib_tag=se&keywords=headphones&qid=1758553725&sr=8-7,https://amazon.in/product-reviews/B0F7Y54PJX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2025-09-22 20:39:12
"boAt Rockerz 550/Rockerz 558 Over Ear Bluetooth Headphones with Upto 20 Hours Playback, 50MM Drivers, Soft Padded Ear Cushions and Physical Noise Isolation(Black)",B0856HY85J,boAt,"₹1,299","₹4,999",74% off,In Stock,4.0 out of 5 stars,"64,971","Amazon.com, Inc",https://www.amazon.in/boAt-Bluetooth-Headphones-Playback-Isolation/dp/B0856HY85J/ref=sr_1_8?dib=eyJ2IjoiMSJ9.mAOnHCmz5d4_zOKs1z0RbD_NGNTcXKC2N_1_W2afBmCuaeD1_ya9RfKH2DdfAmcn4Dz5cSb71tfyPWzbCeZIsfWSWP2M0rmeWr-skayKZw3ujQ34M0qcRaAmBDhKlvXZ3ohLldVlHMFCyL-DHgaixIy1aJ2AVL2wKoQv9fBtA0fzv8Th8QO8B0FhLedUG9gpegDRI0A5D9KOe4EOt-B_QMpXm0D3uRYYwb5YLvGFizY.rZ0ErfuegNP8jtqbyvhmyOWyofCyDD461PbFA3WXeMg&dib_tag=se&keywords=headphones&qid=1758553725&sr=8-8,https://amazon.in/product-reviews/B0856HY85J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2025-09-22 20:39:16
"boAt Rockerz 480 W/RGB LEDs, 6 Light Modes, 40Mm Drivers, Beast Mode, 60Hrs Playback, Enx Tech, BT V5.3, Adaptive Fit & Easy Access Controls, Bluetooth Over Ear Headphones(Black Sabre)",B0DGTSRX3R,boAt,"₹1,499","₹3,790",60% off,In Stock,4.1 out of 5 stars,"2,475","Amazon.com, Inc",https://www.amazon.in/boAt-Rockerz-480-Bluetooth-Headphones/dp/B0DGTSRX3R/ref=sr_1_9?dib=eyJ2IjoiMSJ9.mAOnHCmz5d4_zOKs1z0RbD_NGNTcXKC2N_1_W2afBmCuaeD1_ya9RfKH2DdfAmcn4Dz5cSb71tfyPWzbCeZIsfWSWP2M0rmeWr-skayKZw3ujQ34M0qcRaAmBDhKlvXZ3ohLldVlHMFCyL-DHgaixIy1aJ2AVL2wKoQv9fBtA0fzv8Th8QO8B0FhLedUG9gpegDRI0A5D9KOe4EOt-B_QMpXm0D3uRYYwb5YLvGFizY.rZ0ErfuegNP8jtqbyvhmyOWyofCyDD461PbFA3WXeMg&dib_tag=se&keywords=headphones&qid=1758553725&sr=8-9,https://amazon.in/product-reviews/B0DGTSRX3R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2025-09-22 20:39:20
"boAt Rockerz 480 W/RGB LEDs, 6 Light Modes, 40Mm Drivers, Beast Mode, 60Hrs Playback, Enx Tech, BT V5.3, Adaptive Fit & Easy Access Controls, Bluetooth Over Ear Headphones(White Sabre)",B0DGTTKCJX,boAt,"₹1,499","₹3,790",60% off,In Stock,4.1 out of 5 stars,"2,475","Amazon.com, Inc",https://www.amazon.in/boAt-Rockerz-480-Bluetooth-Headphones/dp/B0DGTTKCJX/ref=sr_1_10?dib=eyJ2IjoiMSJ9.mAOnHCmz5d4_zOKs1z0RbD_NGNTcXKC2N_1_W2afBmCuaeD1_ya9RfKH2DdfAmcn4Dz5cSb71tfyPWzbCeZIsfWSWP2M0rmeWr-skayKZw3ujQ34M0qcRaAmBDhKlvXZ3ohLldVlHMFCyL-DHgaixIy1aJ2AVL2wKoQv9fBtA0fzv8Th8QO8B0FhLedUG9gpegDRI0A5D9KOe4EOt-B_QMpXm0D3uRYYwb5YLvGFizY.rZ0ErfuegNP8jtqbyvhmyOWyofCyDD461PbFA3WXeMg&dib_tag=se&keywords=headphones&qid=1758553725&sr=8-10,https://amazon.in/product-reviews/B0DGTTKCJX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2025-09-22 20:39:24
"boAt Rockerz 421 (2025 Launch), 40Hrs Battery, Low Latency(40Ms), 40Mm Drivers, Enx Technology, Integrated Controls, V5.4 Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Bold Blue)",B0F7LY85KB,boAt,"₹1,199","₹2,490",52% off,In Stock,4.3 out of 5 stars,616,"Amazon.com, Inc",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2Nzc5OTE1NTM1NTk0Njk1OjE3NTg1NTM3MjU6c3BfbXRmOjMwMDY0MTM2NDk0MzczMjo6MDo6&url=%2FboAt-Rockerz-Technology-Integrated-Headphones%2Fdp%2FB0F7LY85KB%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.mAOnHCmz5d4_zOKs1z0RbD_NGNTcXKC2N_1_W2afBmCuaeD1_ya9RfKH2DdfAmcn4Dz5cSb71tfyPWzbCeZIsfWSWP2M0rmeWr-skayKZw3ujQ34M0qcRaAmBDhKlvXZ3ohLldVlHMFCyL-DHgaixIy1aJ2AVL2wKoQv9fBtA0fzv8Th8QO8B0FhLedUG9gpegDRI0A5D9KOe4EOt-B_QMpXm0D3uRYYwb5YLvGFizY.rZ0ErfuegNP8jtqbyvhmyOWyofCyDD461PbFA3WXeMg%26dib_tag%3Dse%26keywords%3Dheadphones%26qid%3D1758553725%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=xdwjSKyhAh&sp_cr=ZAZ,https://amazon.in/product-reviews/B0F7LY85KB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2025-09-22 20:39:28
"JBL New Launch Tune Beam 2 TWS, ANC Earbuds, 48Hr Playtime,Dual Connect, Ambient Aware, Relax Mode, Customized EQ with Headphones App, 6 Mics for Clear Calls, Spatial Sound, Personi-Fi 3.0 (Black)",B0DK3W2XK3,JBL,"₹4,999","₹8,999",44% off,In Stock,3.8 out of 5 stars,788,"Amazon.com, Inc",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2Nzc5OTE1NTM1NTk0Njk1OjE3NTg1NTM3MjU6c3BfbXRmOjMwMDUzNjQ4MzI4ODkzMjo6MDo6&url=%2FJBL-Playtime-Customized-Headphones-Personi-Fi%2Fdp%2FB0DK3W2XK3%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.mAOnHCmz5d4_zOKs1z0RbD_NGNTcXKC2N_1_W2afBmCuaeD1_ya9RfKH2DdfAmcn4Dz5cSb71tfyPWzbCeZIsfWSWP2M0rmeWr-skayKZw3ujQ34M0qcRaAmBDhKlvXZ3ohLldVlHMFCyL-DHgaixIy1aJ2AVL2wKoQv9fBtA0fzv8Th8QO8B0FhLedUG9gpegDRI0A5D9KOe4EOt-B_QMpXm0D3uRYYwb5YLvGFizY.rZ0ErfuegNP8jtqbyvhmyOWyofCyDD461PbFA3WXeMg%26dib_tag%3Dse%26keywords%3Dheadphones%26qid%3D1758553725%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=LVaOWMw9uS&sp_cr=ZAZ,https://amazon.in/product-reviews/B0DK3W2XK3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2025-09-22 20:39:32
"boAt Bassheads 900 Pro Wired Headphones with 40Mm Drivers, Lightweight Foldable Design, Over Ear, Remote Control, Unidirectional Retractable Mic, Adjustable Headband & USB Type-A Compatibility(Black)",B0DHDDF5J2,boAt,₹999,"₹4,990",80% off,In Stock,4.1 out of 5 stars,"99,601","Amazon.com, Inc",https://www.amazon.in/boAt-Bassheads-900-Pro-Unidirectional/dp/B0DHDDF5J2/ref=sr_1_13?dib=eyJ2IjoiMSJ9.mAOnHCmz5d4_zOKs1z0RbD_NGNTcXKC2N_1_W2afBmCuaeD1_ya9RfKH2DdfAmcn4Dz5cSb71tfyPWzbCeZIsfWSWP2M0rmeWr-skayKZw3ujQ34M0qcRaAmBDhKlvXZ3ohLldVlHMFCyL-DHgaixIy1aJ2AVL2wKoQv9fBtA0fzv8Th8QO8B0FhLedUG9gpegDRI0A5D9KOe4EOt-B_QMpXm0D3uRYYwb5YLvGFizY.rZ0ErfuegNP8jtqbyvhmyOWyofCyDD461PbFA3WXeMg&dib_tag=se&keywords=headphones&qid=1758553725&sr=8-13,https://amazon.in/product-reviews/B0DHDDF5J2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2025-09-22 20:39:35
"boAt BassHeads 225 in-Ear Super Extra Bass Wired Headphones, with Mic (Black)",B01M9C51T9,boAt,₹399,₹999,60% off,In Stock,4.0 out of 5 stars,"116,515","Amazon.com, Inc",https://www.amazon.in/BassHeads-225-Super-Extra-Headphones/dp/B01M9C51T9/ref=sr_1_14?dib=eyJ2IjoiMSJ9.mAOnHCmz5d4_zOKs1z0RbD_NGNTcXKC2N_1_W2afBmCuaeD1_ya9RfKH2DdfAmcn4Dz5cSb71tfyPWzbCeZIsfWSWP2M0rmeWr-skayKZw3ujQ34M0qcRaAmBDhKlvXZ3ohLldVlHMFCyL-DHgaixIy1aJ2AVL2wKoQv9fBtA0fzv8Th8QO8B0FhLedUG9gpegDRI0A5D9KOe4EOt-B_QMpXm0D3uRYYwb5YLvGFizY.rZ0ErfuegNP8jtqbyvhmyOWyofCyDD461PbFA3WXeMg&dib_tag=se&keywords=headphones&qid=1758553725&sr=8-14,https://amazon.in/product-reviews/B01M9C51T9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2025-09-22 20:39:39
